cntrycode ,0,1,2,3,4,5,6,7,8
AT,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
BE,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
BG,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
CY,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
CZ,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
DE,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
DK,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
EE,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
ES,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
FI,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
FR,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
GB,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
GR,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
HR,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
HU,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
IE,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
IT,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
LT,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
LU,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
LV,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
MT,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
NL,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
PL,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
PT,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
RO,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
SE,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
SI,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
SK,0.63,0.66,0.68,0.77,0.92,1.03,0.95,0.86,0.98
