cntrycode ,0,1,2,3,4,5,6,7,8
AT,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
BE,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
BG,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
CY,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
CZ,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
DE,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
DK,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
EE,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
ES,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
FI,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
FR,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
GB,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
GR,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
HR,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
HU,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
IE,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
IT,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
LT,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
LU,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
LV,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
MT,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
NL,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
PL,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
PT,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
RO,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
SE,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
SI,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
SK,0,0.03,0.05,0.1331,0.2725,0.3527,0.2126,0.0459,0.1193
