cntrycode ,0,1,2,3,4,5,6,7,8
AT,0.32734,0.32734,0.32665,0.3355,0.33497,0.3337,0.33136,0.33784,0.33755
BE,0.07086,0.07086,0.07671,0.08038,0.0806,0.08744,0.09136,0.09472,0.09929
BG,0.15837,0.15837,0.18898,0.1805,0.18261,0.1876,0.18695,0.20581,0.21545
CY,0.07111,0.07111,0.08428,0.09144,0.09903,0.09833,0.10478,0.13873,0.13777
CZ,0.12814,0.12814,0.13927,0.15074,0.1507,0.14926,0.14799,0.15139,0.16239
DE,0.13549,0.13549,0.13757,0.14381,0.14901,0.14885,0.15472,0.1666,0.17266
DK,0.25465,0.25465,0.27173,0.2931,0.30469,0.31715,0.34387,0.35159,0.3702
EE,0.25586,0.25586,0.25356,0.2613,0.28987,0.29232,0.29538,0.2997,0.3173
ES,0.14239,0.14239,0.15081,0.15879,0.16221,0.17015,0.17118,0.17023,0.17852
FI,0.34222,0.34222,0.3663,0.38633,0.3923,0.38943,0.40857,0.41185,0.42807
FR,0.13239,0.13239,0.1388,0.14362,0.14803,0.15451,0.15847,0.16384,0.17174
GB,,,,,,,,,
GR,0.13741,0.13741,0.15326,0.15683,0.1569,0.1539,0.173,0.18001,0.19633
HR,0.26757,0.26757,0.2804,0.27817,0.28969,0.28266,0.2728,0.28047,0.28466
HU,0.1553,0.1553,0.16205,0.14618,0.14495,0.14377,0.13556,0.12548,0.12634
IE,0.07029,0.07029,0.07521,0.08516,0.09083,0.09189,0.1052,0.10942,0.11979
IT,0.15441,0.15441,0.16741,0.17082,0.17525,0.17415,0.18267,0.17796,0.18181
LT,0.21437,0.21437,0.22689,0.23592,0.25748,0.25612,0.26038,0.24695,0.25474
LU,0.03112,0.03112,0.03494,0.04471,0.04987,0.05364,0.06194,0.08942,0.07046
LV,0.35709,0.35709,0.37037,0.38629,0.37538,0.37138,0.39008,0.40019,0.40929
MT,0.02862,0.02862,0.0376,0.04744,0.05119,0.06208,0.07219,0.07914,0.0823
NL,0.04659,0.04659,0.04691,0.05415,0.05714,0.05846,0.06507,0.07394,0.08886
PL,0.10955,0.10955,0.11452,0.11605,0.11881,0.11396,0.11059,0.14936,0.15377
PT,0.24574,0.24574,0.25699,0.29508,0.30514,0.30864,0.30611,0.30203,0.30623
RO,0.22825,0.22825,0.23886,0.24845,0.24785,0.25032,0.24454,0.23875,0.2429
SE,0.49403,0.49403,0.50153,0.51151,0.5222,0.52597,0.5339,0.53916,0.55785
SI,0.21551,0.21551,0.2316,0.22459,0.22879,0.21975,0.21658,0.21378,0.21968
SK,0.0010453,0.10453,0.10133,0.11713,0.12882,0.12029,0.11465,0.11896,0.16894
