"cntrycode","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AT",0.218241042345277,0.241064965617083,0.263888888888889,0.227421831379118,0.190954773869347,0.208279065843383,0.225603357817419,0.252432069052446,0.279260780287474
"BE",0.149853085210578,0.134081472182754,0.11830985915493,0.138262434648459,0.158215010141988,0.189944943494639,0.221674876847291,0.216691096960231,0.211707317073171
"BG",0.229674796747967,0.222392487566009,0.21511017838405,0.30817556489006,0.40124095139607,0.345620475698035,0.29,0.321630434782609,0.353260869565217
"CY",0.508403361344538,0.39241306278609,0.276422764227642,0.288617886178862,0.300813008130081,0.311302634411273,0.321792260692464,0.366361717390767,0.410931174089069
"CZ",0.303680981595092,0.251120326188493,0.198559670781893,0.196357079649819,0.194154488517745,0.196680812147872,0.199207135777998,0.24281714074329,0.286427145708583
"DE",0.216796875,0.241276930027615,0.265756985055231,0.258050432004919,0.250343878954608,0.279096854153072,0.307849829351536,0.34643651175993,0.385023194168323
"DK",0.152917505030181,0.139653899127831,0.12639029322548,0.12469514661274,0.123,0.222232451678535,0.32146490335707,0.336031256459412,0.350597609561753
"EE",0.119675456389452,0.0913885303337636,0.0631016042780749,0.0644526360117451,0.0658036677454153,0.100033949877004,0.134264232008593,0.146591575463756,0.158918918918919
"ES",0.275,0.266724652087475,0.25844930417495,0.240615781119733,0.222782258064516,0.264895571282998,0.307008884501481,0.343694632440931,0.38038038038038
"FI",0.0908183632734531,0.0870758483033932,0.0833333333333333,0.0856170286108238,0.0879007238883144,0.136096958802796,0.184293193717277,0.187384692096734,0.19047619047619
"FR",0.196003805899144,0.177661221586846,0.159318637274549,0.184465044608645,0.20961145194274,0.284358116612265,0.35910478128179,0.385058781987995,0.411012782694199
"GB",0.115839243498818,0.0949114916681082,0.0739837398373984,0.0972328337741209,0.120481927710843,0.154676700532538,0.188871473354232,0.262476973790518,0.336082474226804
"GR",0.3940329218107,0.318228582117471,0.242424242424242,0.272194541067344,0.301964839710445,0.297223408526695,0.292481977342945,0.320623704720855,0.348765432098765
"HR",NA,NA,0.223480947476828,0.227163860835188,0.230846774193548,0.266449780058651,0.302052785923754,0.279105210695867,0.25615763546798
"HU",0.351351351351351,0.315803064210708,0.280254777070064,0.279287544785032,0.2783203125,0.300227349925889,0.322134387351779,0.337951615786442,0.353768844221106
"IE",0.135427952329361,0.105734809498014,0.0760416666666667,0.09409079218107,0.112139917695473,0.150514403292181,0.188888888888889,0.257053986800822,0.325219084712756
"IT",0.241516966067864,0.279194697025702,0.316872427983539,0.275253938060249,0.233635448136959,0.280768844231412,0.327902240325866,0.317604773816586,0.307307307307307
"LT",0.22609561752988,0.19819837989682,0.170301142263759,0.197689111727974,0.225077081192189,0.252987978798342,0.280898876404494,0.279624695934206,0.278350515463918
"LU",0.302845528455285,0.250014313523417,0.197183098591549,0.210153415421535,0.223123732251521,0.260649087221095,0.298174442190669,0.376546237488777,0.454918032786885
"LV",0.204771371769384,0.153932077637269,0.103092783505155,0.0888755189870673,0.07465825446898,0.116993697465098,0.159329140461216,0.164964999415157,0.170600858369099
"MT",0.31237322515213,0.273656492094137,0.234939759036145,0.216867469879518,0.198795180722892,0.235025120725818,0.271255060728745,0.376252530364372,0.48125
"NL",0.0573770491803279,0.0540178052385935,0.0506585612968592,0.047870264254987,0.0450819672131148,0.114232979553872,0.18338399189463,0.179104583359903,0.174825174825175
"PL",0.200845665961945,0.18250437804535,0.164163090128755,0.147576752732109,0.130990415335463,0.141417116561441,0.151843817787419,0.202674875452501,0.253505933117584
"PT",0.196865817825661,0.222531776060101,0.248197734294542,0.229888340831481,0.211578947368421,0.233969512823154,0.256360078277886,0.258097223403954,0.259834368530021
"RO",0.308490566037736,0.24384363523308,0.179196704428424,0.263577944050947,0.347959183673469,0.327597034849619,0.307234886025768,0.288739394232396,0.270243902439024
"SE",0.146,0.157269662921348,0.168539325842697,0.155078911476262,0.141618497109827,0.218976254664893,0.296334012219959,0.293423923106027,0.290513833992095
"SI",0.261398176291793,0.2616971687601,0.261996161228407,0.256260135121541,0.250524109014675,0.285524946317247,0.320525783619818,0.326250671850642,0.331975560081466
"SK",0.362992922143579,0.318194673479781,0.273396424815983,0.234358436212671,0.195320447609359,0.196829486525344,0.198338525441329,0.200847446333695,0.203356367226061
