cntrycode ,0,1,2,3,4,5,6,7,8
AT,0.025943396,0.028085844,0.030199419,0.031692008,0.033184596,0.032333581,0.031482566,0.031358389,0.031234211
BE,0.075213675,0.080031748,0.084524893,0.089144056,0.09376322,0.087377709,0.080992198,0.068969498,0.056946798
BG,0.147268409,0.146290494,0.149904143,0.128482956,0.107061768,0.0979228,0.088783832,0.064220237,0.039656642
CY,0.054054054,0.108219235,0.140440257,0.144333914,0.148227571,0.131256201,0.114284831,0.091771505,0.069258179
CZ,0.04886562,0.049006843,0.045580483,0.052897398,0.060214313,0.053740743,0.047267174,0.046367509,0.045467843
DE,0.050072922,0.048174818,0.047052944,0.048245814,0.049438684,0.044709227,0.039979771,0.040208485,0.0404372
DK,0.054982818,0.054535483,0.047099544,0.045457719,0.043815894,0.037595456,0.031375019,0.039408458,0.047441897
EE,0.033333333,0.053122591,0.054559848,0.05151641,0.048472972,0.04921642,0.049959869,0.041105861,0.032251854
ES,0.148961192,0.178716035,0.208917833,0.182953803,0.156989773,0.135097419,0.113205065,0.106113777,0.099022489
FI,0.048611111,0.058344162,0.068399592,0.06800667,0.067613748,0.068372231,0.069130713,0.058087362,0.04704401
FR,0.055069647,0.066713315,0.078250195,0.068733413,0.059216631,0.075295351,0.09137407,0.077330231,0.063286392
GB,0.095796951,0.082879038,0.069961124,0.077760778,0.085560432,0.078526154,0.071491877,0.073857815,0.076223753
GR,0.099099099,0.117712307,0.140030222,0.119648798,0.099267373,0.102888612,0.106509851,0.087624728,0.068739604
HR,,0.112977577,0.112977577,0.124845575,0.136713572,0.129540532,0.122367491,0.086019281,0.049671071
HU,0.104972376,0.093286934,0.080346092,0.073634768,0.066923445,0.062805657,0.05868787,0.050889996,0.043092121
IE,0.125603865,0.116573976,0.102010622,0.094166169,0.086321716,0.076058955,0.065796195,0.055446136,0.045096078
IT,0.029141104,0.036248011,0.044568254,0.045842258,0.047116262,0.059025583,0.070934904,0.060454593,0.049974282
LT,0.166666667,0.13745475,0.103595868,0.087717331,0.071838794,0.077506943,0.083175092,0.09146242,0.099749747
LU,0,0.037642494,0.045155026,0.038458498,0.031761971,0.045074267,0.058386562,0.043766835,0.029147107
LV,0.153846154,0.134447083,0.102255682,0.091924912,0.081594142,0.088057752,0.094521363,0.08001894,0.065516517
MT,0,0.03212575,0.03011347,0.022886019,0.015658569,0.017776228,0.019893887,0.019571688,0.019249489
NL,0.031690141,0.045428781,0.058110547,0.056097627,0.054084707,0.050044347,0.046003988,0.034240399,0.02247681
PL,0.100198413,0.085482933,0.070545786,0.061636343,0.0527269,0.054171276,0.055615652,0.044136264,0.032656877
PT,0.108317215,0.133399712,0.158089742,0.128248847,0.098407951,0.085559175,0.072710399,0.060012046,0.047313694
RO,0.068585944,0.062932713,0.057091871,0.057051106,0.057010341,0.047054422,0.037098503,0.031315435,0.025532366
SE,0.043478261,0.033951621,0.0287812,0.032071026,0.035360852,0.032155632,0.028950412,0.028604875,0.028259337
SI,0.081818182,0.094011008,0.104306602,0.112162242,0.120017882,0.100852867,0.081687853,0.065795062,0.049902271
SK,0.085034014,0.075404475,0.063286249,0.062179582,0.061072916,0.079195206,0.097317496,0.084183029,0.071048562
