"cntrycode","unemployed","class","opinion8","number","weighteu28"
"BE",1,2,3,1,0.552308
"BE",0,1,3,1,0.706977
"BE",0,3,2,1,0.492639
"BE",0,3,2,1,0.42209
"BE",0,3,3,1,0.42209
"BE",0,1,3,1,0.55225
"BE",0,2,2,1,0.501171
"BE",0,1,3,1,0.55225
"BE",0,1,3,1,0.358127
"BE",0,2,3,1,0.317412
"BE",0,2,3,1,0.269712
"BE",1,1,3,1,0.357898
"BE",0,2,2,1,0.357898
"BE",0,2,2,1,0.269712
"BE",0,3,2,1,0.269712
"BE",0,2,3,1,0.377883
"BE",0,2,2,1,0.507356
"BE",0,2,3,1,0.360245
"BE",0,3,2,1,0.377883
"BE",0,5,2,1,0.424953
"BE",0,2,2,1,0.424953
"BE",0,1,3,1,0.360245
"BE",0,2,3,1,0.507356
"BE",0,2,3,1,0.422892
"BE",0,2,2,1,0.467157
"BE",0,2,2,1,0.41539
"BE",0,2,3,1,0.467157
"BE",0,2,2,1,0.428103
"BE",0,3,3,1,0.428103
"BE",1,1,2,1,0.601153
"BE",0,2,3,1,0.422892
"BE",0,3,3,1,0.475059
"BE",0,3,3,1,0.475059
"BE",0,3,2,1,0.624116
"BE",0,3,2,1,0.624116
"BE",0,3,3,1,0.690542
"BE",0,3,2,1,0.612033
"BE",0,3,2,1,0.612033
"BE",0,3,2,1,0.690542
"BE",0,2,1,1,0.724213
"BE",0,3,2,1,1.134907
"BE",0,1,1,1,0.633507
"BE",0,2,3,1,1.270508
"BE",0,4,2,1,0.924578
"BE",0,3,2,1,0.576874
"BE",0,2,2,1,1.010474
"BE",0,3,3,1,0.633507
"BE",0,3,2,1,0.576874
"BE",0,3,2,1,0.633965
"BE",0,1,2,1,0.84796
"BE",0,4,2,1,0.84796
"BE",0,2,3,1,0.762866
"BE",0,3,2,1,0.848818
"BE",0,3,1,1,0.660593
"BE",1,2,1,1,0.999994
"BE",0,3,2,1,0.77449
"BE",1,1,3,1,0.78434
"BE",0,2,3,1,0.78434
"BE",0,4,3,1,1.070543
"BE",0,2,3,1,0.77449
"BE",0,3,1,1,0.954355
"BE",0,3,1,1,0.727248
"BE",0,3,2,1,0.848818
"BE",0,3,3,1,0.954355
"BE",0,3,1,1,0.954355
"BE",0,3,2,1,0.663513
"BE",0,4,2,1,0.663513
"BE",0,3,2,1,0.479697
"BE",0,4,2,1,0.617932
"BE",0,3,2,1,0.465954
"BE",0,3,2,1,0.588784
"BE",0,3,2,1,0.520583
"BE",0,3,2,1,0.520984
"BE",0,3,2,1,0.473456
"BE",0,3,2,1,0.473456
"BE",0,2,2,1,0.400903
"BE",0,3,3,1,0.588784
"BE",0,2,3,1,0.848818
"BE",0,3,2,1,0.84796
"BE",0,3,1,1,0.954355
"BE",0,3,2,1,0.727248
"BE",0,3,1,1,0.848818
"BE",0,3,3,1,0.727248
"BE",0,3,2,1,0.660593
"BE",1,2,3,1,0.77449
"BE",0,2,2,1,0.999994
"BE",0,1,1,1,0.765844
"BE",0,3,2,1,0.766702
"BE",0,4,2,1,0.699303
"BE",0,2,2,1,0.765844
"BE",0,5,1,1,0.539767
"BE",0,3,2,1,0.631503
"BE",0,2,2,1,0.489776
"BE",0,2,2,1,0.582886
"BE",0,3,2,1,0.745801
"BE",0,3,2,1,0.539767
"BE",0,2,2,1,0.539767
"BE",0,4,1,1,0.566681
"BE",0,2,2,1,0.630816
"BE",0,4,2,1,0.566681
"BE",0,3,2,1,0.631503
"BE",0,1,2,1,0.575328
"BE",0,2,2,1,0.489776
"BE",1,2,2,1,0.539767
"BE",0,3,2,1,0.630816
"BE",0,3,2,1,0.566681
"BE",0,3,2,1,0.566681
"BE",0,3,1,1,0.489776
"BE",0,4,2,1,0.575328
"BE",0,4,1,1,0.489776
"BE",0,4,2,1,0.630816
"BE",0,3,2,1,0.575328
"BE",0,1,2,1,0.575328
"BE",0,3,2,1,0.575328
"BE",0,2,2,1,0.633507
"BE",0,2,3,1,0.715394
"BE",0,2,2,1,0.633507
"BE",0,3,3,1,0.633507
"BE",0,3,2,1,0.79207
"BE",1,4,1,1,0.568857
"BE",0,3,2,1,0.568857
"BE",0,3,2,1,0.79207
"BE",0,3,2,1,0.565077
"BE",0,4,2,1,0.549273
"BE",0,3,2,1,0.557805
"BE",0,2,1,1,0.77638
"BE",0,3,2,1,0.565077
"BE",0,3,2,1,0.523275
"BE",0,3,2,1,0.557805
"BE",0,3,2,1,0.523275
"BE",0,2,2,1,0.630816
"BE",1,2,2,1,0.566681
"BE",0,3,2,1,0.745801
"BE",0,3,2,1,0.575328
"BE",0,4,1,1,0.582886
"BE",0,3,3,1,0.566681
"BE",0,3,2,1,0.631503
"BE",0,4,2,1,0.575328
"BE",0,4,2,1,0.762866
"BE",0,2,2,1,0.999994
"BE",0,4,2,1,1.070543
"BE",0,3,3,1,0.762866
"BE",0,4,2,1,0.848818
"BE",0,2,2,1,0.660593
"BE",0,3,3,1,0.954355
"BE",0,4,3,1,0.762866
"BE",1,3,2,1,0.77449
"BE",0,2,3,1,0.762866
"BE",0,2,3,1,0.848818
"BE",0,2,3,1,0.77449
"BE",0,4,3,1,0.999994
"BE",0,3,2,1,0.848818
"BE",0,3,2,1,0.77449
"BE",0,3,2,1,0.999994
"BE",0,3,1,1,0.565077
"BE",0,4,2,1,0.557805
"BE",0,3,2,1,0.4742
"BE",0,4,3,1,0.724213
"BE",0,4,2,1,0.549273
"BE",0,3,2,1,0.612606
"BE",0,3,2,1,0.549273
"BE",0,3,2,1,0.549273
"BE",0,3,2,1,0.77449
"BE",0,3,2,1,0.660593
"BE",0,4,1,1,0.762866
"BE",0,3,2,1,0.762866
"BE",0,3,2,1,0.954355
"BE",0,3,3,1,0.727248
"BE",0,3,2,1,0.84796
"BE",0,4,2,1,0.727248
"BE",0,4,2,1,0.7044
"BE",0,3,3,1,0.699303
"BE",0,2,2,1,0.903677
"BE",0,3,2,1,0.568857
"BE",0,3,2,1,0.903677
"BE",0,2,2,1,0.568857
"BE",0,2,1,1,0.738758
"BE",0,3,3,1,0.678287
"BE",0,3,2,1,0.633507
"BE",0,4,3,1,0.940268
"BE",0,2,3,1,0.633507
"BE",0,3,3,1,0.837423
"BE",0,3,3,1,0.805069
"BE",0,3,2,1,0.475059
"BE",0,3,3,1,0.877794
"BE",0,4,2,1,0.940268
"BE",0,4,2,1,0.475059
"BE",0,4,1,1,0.475059
"BE",0,2,2,1,0.475059
"BE",0,3,2,1,0.77449
"BE",0,5,3,1,0.77449
"BE",0,3,2,1,0.954355
"BE",0,2,1,1,0.475059
"BE",0,2,2,1,0.77449
"BE",0,3,2,1,0.594396
"BE",0,3,2,1,0.475059
"BE",0,5,2,1,0.575328
"BE",0,3,2,1,0.575328
"BE",0,3,3,1,0.575328
"BE",0,3,3,1,0.799114
"BE",0,3,1,1,0.79207
"BE",0,1,1,1,0.624231
"BE",0,3,2,1,0.79207
"BE",0,3,2,1,0.624803
"BE",0,3,2,1,0.84796
"BE",0,2,1,1,0.950748
"BE",0,2,2,1,0.75462
"BE",0,3,1,1,0.877794
"BE",0,3,2,1,0.744026
"BE",0,4,2,1,0.678287
"BE",0,3,3,1,0.624231
"BE",0,3,3,1,0.624803
"BE",0,3,2,1,0.568857
"BE",0,3,2,1,0.557805
"BE",0,3,2,1,0.724213
"BE",0,3,2,1,0.612033
"BE",1,3,2,1,0.624803
"BE",0,3,2,1,0.823909
"BE",0,3,2,1,0.627266
"BE",0,4,2,1,0.668266
"BE",0,3,2,1,0.668266
"BE",0,3,2,1,0.732631
"BE",0,3,2,1,0.658302
"BE",0,3,1,1,0.658302
"BE",0,3,2,1,0.676913
"BE",0,4,2,1,1.010474
"BE",0,4,2,1,0.868804
"BE",0,4,2,1,0.936317
"BE",0,5,1,1,1.011676
"BE",0,3,2,1,0.791269
"BE",0,4,2,1,1.134907
"BE",0,4,2,1,0.868804
"BE",0,4,2,1,0.868804
"BE",0,4,2,1,0.791269
"BE",0,4,2,1,1.188449
"BE",0,4,2,1,0.791269
"BE",0,4,1,1,0.868804
"BE",0,4,2,1,1.011676
"BE",0,4,2,1,1.010474
"BE",0,3,2,1,0.911121
"BE",0,4,2,1,0.911121
"BE",0,3,2,1,0.624803
"BE",1,3,3,1,0.576301
"BE",0,3,2,1,0.7044
"BE",0,3,2,1,0.53364
"BE",0,4,3,1,0.53364
"BE",0,3,1,1,0.7044
"BE",0,4,3,1,0.560153
"BE",0,5,2,1,0.483419
"BE",0,3,2,1,0.413844
"BE",0,3,3,1,0.413844
"BE",0,3,2,1,0.613809
"BE",0,2,2,1,0.541542
"BE",0,3,2,1,0.491379
"BE",0,2,2,1,0.541599
"BE",0,2,2,1,0.541542
"BE",0,3,1,1,0.483076
"BE",0,3,2,1,0.693405
"BE",0,3,2,1,0.491379
"BE",0,2,2,1,0.497506
"BE",0,3,2,1,0.624116
"BE",0,5,1,1,0.644387
"BE",0,2,3,1,0.475059
"BE",0,3,2,1,0.524019
"BE",0,3,3,1,0.644387
"BE",0,3,1,1,0.46687
"BE",0,3,3,1,0.644387
"BE",0,3,2,1,0.491379
"BE",0,3,2,1,0.613809
"BE",0,4,2,1,0.541599
"BE",0,3,2,1,0.624116
"BE",0,2,2,1,0.523962
"BE",1,2,2,1,0.46687
"BE",0,3,2,1,0.594396
"BE",0,3,2,1,0.475059
"BE",0,3,2,1,0.750382
"BE",0,3,1,1,0.567826
"BE",0,3,2,1,0.480957
"BE",0,3,2,1,0.633965
"BE",0,3,2,1,0.523962
"BE",0,3,2,1,0.624116
"BE",0,2,2,1,0.475059
"BE",0,3,1,1,0.475059
"BE",0,2,2,1,0.489432
"BE",0,2,2,1,0.576874
"BE",0,4,3,1,0.633965
"BE",0,3,2,1,0.523962
"BE",0,4,2,1,0.805069
"BE",0,3,2,1,0.576874
"BE",0,2,2,1,0.524019
"BE",0,3,3,1,0.480957
"BE",0,3,2,1,0.374905
"BE",0,3,2,1,0.334992
"BE",0,2,3,1,0.405312
"BE",0,3,2,1,0.393172
"BE",0,3,1,1,0.405312
"BE",0,3,2,1,0.503519
"BE",0,4,2,1,0.529059
"BE",0,2,2,1,0.374905
"BE",0,2,2,1,0.393172
"BE",0,3,2,1,0.442476
"BE",0,2,2,1,0.442705
"BE",0,3,2,1,0.413844
"BE",0,3,2,1,0.483076
"BE",0,3,2,1,0.613809
"BE",0,3,2,1,0.491379
"BE",0,2,2,1,0.541542
"BE",0,3,2,1,0.491379
