"cntrycode","unemployed","class","opinion8","number","weighteu28"
"BE",0,3,1,1,0.6237
"BE",0,3,2,1,0.461027
"BE",0,2,2,1,0.478055
"BE",0,2,2,1,0.53391
"BE",0,3,2,1,0.461027
"BE",0,2,2,1,0.6237
"BE",0,3,2,1,0.712282
"BE",0,3,3,1,0.426729
"BE",0,3,2,1,0.531676
"BE",0,3,3,1,0.461027
"BE",0,3,2,1,0.531676
"BE",0,3,2,1,0.666391
"BE",1,2,2,1,0.666391
"BE",0,3,2,1,0.531676
"BE",1,2,2,1,0.701353
"BE",0,3,2,1,0.53391
"BE",0,3,2,1,0.531676
"BE",0,3,2,1,0.712282
"BE",0,2,2,1,0.712282
"BE",0,2,2,1,0.461027
"BE",0,2,2,1,0.712282
"BE",0,3,2,1,0.666391
"BE",0,2,2,1,0.701353
"BE",0,2,2,1,0.712282
"BE",0,3,2,1,0.666391
"BE",1,3,2,1,0.712282
"BE",0,3,3,1,0.701353
"BE",0,2,3,1,0.53391
"BE",0,2,2,1,0.701353
"BE",1,2,2,1,0.712282
"BE",0,1,2,1,0.712282
"BE",0,4,3,1,0.478055
"BE",0,2,2,1,0.6237
"BE",0,2,3,1,0.478055
"BE",1,3,2,1,0.53391
"BE",0,3,3,1,0.461027
"BE",0,4,3,1,0.701353
"BE",0,3,3,1,0.53391
"BE",0,3,3,1,0.6237
"BE",0,3,2,1,0.461027
"BE",0,3,2,1,0.666391
"BE",0,2,2,1,0.461027
"BE",0,2,2,1,0.712282
"BE",1,2,1,1,0.701353
"BE",0,3,2,1,0.461027
"BE",0,3,2,1,0.461027
"BE",0,3,1,1,0.53391
"BE",0,1,2,1,0.712282
"BE",0,3,1,1,0.478055
"BE",0,3,2,1,0.53391
"BE",0,3,2,1,0.6237
"BE",0,2,2,1,0.6237
"BE",0,4,3,1,0.461027
"BE",1,2,1,1,0.701353
"BE",0,1,2,1,0.712282
"BE",0,3,2,1,0.461027
"BE",1,2,2,1,0.701353
"BE",0,3,2,1,0.712282
"BE",0,2,1,1,0.531676
"BE",0,1,1,1,0.53391
"BE",0,1,2,1,0.531676
"BE",0,3,3,1,0.666391
"BE",1,3,2,1,0.6237
"BE",0,3,2,1,0.478055
"BE",0,3,2,1,0.426729
"BE",0,3,2,1,0.531676
"BE",0,4,3,1,0.670255
"BE",0,3,3,1,0.670255
"BE",0,3,3,1,0.701353
"BE",0,2,2,1,0.531676
"BE",0,3,2,1,0.426729
"BE",0,3,2,1,0.461027
"BE",0,3,2,1,0.701353
"BE",0,3,2,1,0.53391
"BE",0,1,2,1,0.666391
"BE",0,2,2,1,0.666391
"BE",0,3,2,1,0.478055
"BE",0,2,1,1,0.53391
"BE",0,3,1,1,0.666391
"BE",0,2,1,1,0.701353
"BE",0,2,2,1,0.701353
"BE",0,1,1,1,0.53391
"BE",0,2,1,1,0.701353
"BE",0,1,1,1,0.461027
"BE",0,2,1,1,0.666391
"BE",0,3,2,1,0.438625
"BE",0,3,3,1,0.423106
"BE",0,2,2,1,0.423106
"BE",0,3,3,1,0.637648
"BE",0,2,2,1,0.648397
"BE",0,3,2,1,0.486026
"BE",0,2,2,1,0.393156
"BE",0,4,2,1,0.438625
"BE",0,4,2,1,0.438625
"BE",0,3,2,1,0.568509
"BE",0,2,2,1,0.609812
"BE",0,4,2,1,0.438625
"BE",0,3,2,1,0.438625
"BE",0,2,2,1,0.486026
"BE",0,3,3,1,0.488743
"BE",0,2,2,1,0.637648
"BE",1,3,3,1,0.423106
"BE",0,3,2,1,0.393156
"BE",0,1,2,1,0.423106
"BE",0,1,2,1,0.438625
"BE",0,2,3,1,0.637648
"BE",0,3,3,1,0.423106
"BE",0,3,2,1,0.609812
"BE",0,4,2,1,0.486026
"BE",0,3,3,1,0.607034
"BE",0,2,3,1,0.648397
"BE",0,3,2,1,0.423106
"BE",0,2,3,1,0.486026
"BE",0,1,2,1,0.423106
"BE",0,4,2,1,0.607034
"BE",0,3,2,1,0.423106
"BE",0,2,3,1,0.393156
"BE",0,3,2,1,0.568509
"BE",1,1,2,1,0.423106
"BE",0,4,3,1,0.637648
"BE",0,2,2,1,0.488743
"BE",0,4,2,1,0.488743
"BE",0,3,3,1,0.568509
"BE",0,1,2,1,0.393156
"BE",0,1,3,1,0.486026
"BE",1,1,1,1,0.607034
"BE",0,3,2,1,0.488743
"BE",0,3,2,1,0.648397
"BE",0,3,3,1,0.486026
"BE",0,2,2,1,0.393156
